data_ar1,data_ar2,data_ar3,data_ar4,data_ar5,data_ar6,data_ar7,data_ar8,data_ar9,data_ar10,data_ar11,data_ar12,data_ar13,data_ar14
0.1,0.1,0.072,0.014,0.058,0.58,0.00895626984127118,2.30647573295864,301.306475732959,300.153237866479,0.00984243238570065,0.000586612418528166,0.101140072160029,0.00884696806398069
0.2,0.2,0.145,0.0283,0.1167,0.5835,0.0124562698412711,3.20781805609362,302.207818056094,300.603909028047,0.028478326195289,0.000819545022355845,0.035113325722187,0.0274783574515711
0.3,0.3,0.2228,0.0445,0.1783,0.594333333333333,0.0232896031746046,5.9976871515115,304.997687151512,301.998843575756,0.0349069678037268,0.00155385082898028,0.0290493705174851,0.0338929423623544
0.4,0.4,0.3005,0.0595,0.241,0.6025,0.0314562698412711,8.10081923882645,307.100819238826,303.050409619413,0.0465769910031166,0.00212088927142138,0.022000926052089,0.0455522540683282
0.5,0.5,0.3838,0.0748,0.309,0.618,0.0469562698412711,12.0924780984243,311.092478098424,305.046239049212,0.0500076573766079,0.00322960770325006,0.0209036097297739,0.0489623168233071
0.6,0.6,0.4729,0.0909,0.382,0.636666666666667,0.0656229365079379,16.8996371551443,315.899637155144,307.449818577572,0.05308362459747,0.00462269113089763,0.0201688094716301,0.0520129910869001
0.7,0.7,0.5718,0.1081,0.4637,0.662428571428571,0.0913848412698427,23.5340071798522,322.534007179852,310.767003589926,0.0539836929079758,0.00665257292785149,0.020495310785457,0.0528772803444802
0.8,0.8,0.694,0.1282,0.5658,0.70725,0.136206269841271,35.0767073383666,334.076707338367,316.538353669183,0.0505076831049108,0.0104953250036397,0.023186914553817,0.049336565772446
0.9,0.9,0.8225,0.149,0.6735,0.748333333333333,0.177289603174605,45.6567493694512,344.656749369451,321.828374684726,0.0519635074883402,0.0143854857347539,0.0237325509110846,0.0507302809013546
1,1,0.9891,0.173,0.8161,0.8161,0.245056269841271,63.108453587865,362.108453587865,330.554226793932,0.0506149923575861,0.0216332640734712,0.0265081044889979,0.0492732848514614
